Sample Name 	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Comment[cptac accession number]	Comment[data file]	Comment[Associated file URI]	Comment[fraction identifier]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
Sample 29	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F29.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F29.raw	29										
Sample 30	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F30.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F30.raw	30										
Sample 31	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F31.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F31.raw	31										
Sample 32	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F32.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F32.raw	32										
Sample 33	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F33.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F33.raw	33										
Sample 34	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F34.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F34.raw	34										
Sample 35	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F35.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F35.raw	35										
Sample 36	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F36.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F36.raw	36										
Sample 37	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171001_HF_ZHW_total_liver01_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Proteome/liver01_Proteome_raw/20171001_HF_ZHW_total_liver01_F01.raw	1										
Sample 38	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171001_HF_ZHW_total_liver01_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Proteome/liver01_Proteome_raw/20171001_HF_ZHW_total_liver01_F02.raw	2										
Sample 39	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171001_HF_ZHW_total_liver01_F03.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Proteome/liver01_Proteome_raw/20171001_HF_ZHW_total_liver01_F03.raw	3										
